articleNumber,name,brand,category,subcategory,packSizeValue,packSizeUnit,salesUnit,unitsPerSalesUnit,priceCHF,priceBasis,sourceUrl,verifiedAt,verificationStatus,notes
396371,"Raimond Frères Thon Tongol hell in Sonnenblumenöl, 5 x 100 g",Raimond Frères,fish_seafood,tuna,500,g,pack,,1.39,per_pack,,,seed_unverified,
092660,"Ditzler halbe Zwetschgen entsteint TK, 2 x 2,5 kg",Ditzler,vegetables_fruit,plums,5,kg,case,,5.2,per_kg,,,seed_unverified,
688710,Fusetea Peach Hibiscus 24 x 50 cl,Fusetea,non_alcoholic_drinks,iced_tea,12,l,case,24,0.99,per_piece,,,seed_unverified,
022610,"Quality Milchdrink 1,5%, UHT, 12 x 1 l",Quality,dairy_eggs,milk,12,l,case,,1.28,per_liter,,,seed_unverified,
054722,"Rinds-Geschnetzeltes II, Stotzen, zum Kochen, ca. 5 kg",Quality,meat_poultry,beef,5,kg,pack,,19.99,per_kg,,,seed_unverified,
043554,"Quality Menü-Salat, 10 mm, 1 kg",Quality,vegetables_fruit,leafy_greens,1,kg,pack,,5.95,per_pack,,,seed_unverified,
073276,"Quality Poulet Cervelas, 100 g",Quality,meat_poultry,sausage,100,g,piece,1,0.89,per_piece,,,seed_unverified,
228060,"Weissmehl, Type 550, 25 kg",,rice_pasta_grains,flour,25,kg,bag,,1.39,per_kg,,,seed_unverified,
403250,"Mae Ploy Curry Paste grün, 400 g",Mae Ploy,sauces_condiments,curry_paste,400,g,tub,,2.85,per_pack,,,seed_unverified,
002115,"Schweins-Brust, mit Schwarten, ohne Knochen, ca. 3,5 kg",Quality,meat_poultry,pork,3.5,kg,pack,,7.69,per_kg,,,seed_unverified,
026340,"Emmi Suisse Jogurt 0,2% Mini, assortiert, laktosefrei, 10 x 90 g",Emmi,dairy_eggs,yogurt,900,g,case,,5.00,per_pack,,,seed_unverified,
045914,"Zwiebeln rot gross, 10 kg",,vegetables_fruit,onions,10,kg,bag,,1.98,per_kg,,,seed_unverified,
