"articleNumber","name","brand","category","subcategory","packSizeValue","packSizeUnit","salesUnit","unitsPerSalesUnit","ingredients","dietaryTags","allergens","origin","priceCHF","priceBasis","sourceUrl","verifiedAt","verificationStatus","notes","provenance","identityProvenance","packProvenance","priceProvenance","nameConflict","packConflict","conflictFields","conflictDetails","conflictResolution","resolutionSourceUrl"
"019272","Caprice des Dieux, laktosefrei, 125 g","Caprice des Dieux","dairy_eggs","cheese","125","g","piece","1","","","","","3.14","per_piece","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"019401","358","Kiri","dairy_eggs","","140","g","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"019611","Philadelphia, 200 g","Philadelphia","dairy_eggs","cream_cheese","200","g","tub","","","","","","2.41","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"019621","Philadelphia Kräuter, 1,65 kg","Philadelphia","dairy_eggs","cream_cheese","1.65","kg","tub","","","","","","16.95","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"019681","Philadelphia Kräuter, 200 g","Philadelphia","dairy_eggs","cream_cheese","200","g","tub","","","","","","2.41","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"019710","Granarolo Ricotta, 1,5 kg","Granarolo","dairy_eggs","cheese","1.5","kg","tub","","","","","","8.15","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"019721","Granarolo Ricotta, 250 g","Granarolo","dairy_eggs","cheese","250","g","tub","","","","","","2.13","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"020550","Käse-Frühstücksportionen assortiert","Emmi","dairy_eggs","","27","g","case","37","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"022600","Quality Vollmilch 3,5%, UHT, 12 x 1 l","Quality","dairy_eggs","milk","12","l","case","","","","","","1.29","per_liter","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"022610","Quality Milchdrink 1,5%, UHT, 12 x 1 l","Quality","dairy_eggs","milk","12","l","case","","","","","","1.28","per_liter","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"023240","Good Day Milchgetränk High Protein","Emmi","dairy_eggs","","1","l","case","12","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"023991","Bio Vollmilch 3,9%, UHT","Emmi","dairy_eggs","","1","l","case","6","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"024210","Milch 1,5% Fettanteil UHT","Emmi","dairy_eggs","","1","l","case","12","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"024211","Good Day Milch 1,5% Fettanteil UHT 190","Emmi","dairy_eggs","","250","ml","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"024480","Good Day Vollrahm 35% Fettanteil UHT","Emmi","dairy_eggs","","250","ml","case","18","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"024610","Halbrahm 25% Fettanteil UHT","Quality","dairy_eggs","","1","l","case","12","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"024640","Good Day Halbrahm 25% Fettanteil UHT","Emmi","dairy_eggs","","250","ml","case","18","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"024950","Good Day Kaffeerahm Portionen 15%, UHT","Emmi","dairy_eggs","","12","g","case","10","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"024960","Good Day Vollrahm 35% Fettanteil UHT","Emmi","dairy_eggs","","1","l","case","12","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"025040","Quality Kaffeerahm Portionen 15%, UHT, 200 x 12 g","Quality","dairy_eggs","cream","2.4","kg","case","","","","","","9.55","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"025440","Choco Drink","Comella","dairy_eggs","","330","ml","case","12","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"026196","Emmi Suisse Jogurt Mini Nature, 20 x 90 g","Emmi","dairy_eggs","yogurt","1.8","kg","case","","","","","","8.60","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"026340","Suisse Yogourt 0,2% Mini assortiert","Emmi","dairy_eggs","yogurt","90","g","case","10","","","","","5.00","per_pack","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","merged","merged","scraped","seed","false","false","","","Official promotion identifies the article as Suisse Yogourt 0,2% Mini assortiert, 10 x 90 g; canonical pack size is normalized per unit.","https://www-static.transgourmet.ch/public/2024-02/kw09-bgh-lastminute-d.pdf"
"027180","Butterportionen Becher 150","Floralp","dairy_eggs","","330","ml","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"027220","Emmi Premium Butterportionen, Würfel, 100 x 10 g","Emmi","dairy_eggs","butter","1","kg","case","","","","","","21.95","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"029717","Natura Bio Tofu nature, 1,25 kg","Natura","plant_based","tofu","1.25","kg","piece","1","","","","","","","https://web.transgourmet.ch/de/prodega-easy/catalog/article/029717","2026-08-22","official_product_verified_price_unverified","Official product and pack size verified; public page did not expose price.","seed","seed","seed","","false","false","","","",""
"030510","Hack vegan","Garden Gourmet","plant_based","","2","kg","case","2","","vegan","","","22.58","2 x 2 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"030522","Burger Deluxe","Garden Gourmet","plant_based","","90","g","case","66","","","","","2.46","66 x 90 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"030532","Linsenburger","Garden Gourmet","plant_based","","80","g","case","75","","vegan","","","","","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"030540","Sensational Burger","Garden Gourmet","plant_based","","113","g","case","51","","vegan","","","","","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"030550","Sensational Sausage","Garden Gourmet","plant_based","","90","g","case","66","","vegan","","","3.00","3 x 22 x 90 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"030560","Filet Streifen","Garden Gourmet","plant_based","","2","kg","case","2","","vegan","","","24.15","2 x 2 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"030570","Vegane Nuggets","Garden Gourmet","plant_based","","2","kg","case","2","","vegan","","","24.15","2 x 2 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"030580","Vuna","Garden Gourmet","plant_based","","2","kg","case","2","","vegan","","","22.58","2 x 2 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"030610","Veganes Schnitzel","Garden Gourmet","plant_based","","90","g","case","44","","vegan","","","2.35","44 x 90 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"030640","Vegane Hackbällchen","Garden Gourmet","plant_based","","2","kg","case","2","","vegan","","","26.82","2 x 2 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"031810","Ta'ameia Falafelkugeln klein","","plant_based","","1","kg","case","2","","","","","9.58","2 x 1 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"031820","Ta'ameia Falafelkugeln vorfrittiert","","plant_based","","1","kg","case","2","","","","","15.78","2 x 1 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"032100","Yellow Lentil Balls","Hilcona","plant_based","","1.5","kg","case","2","","","","","21.95","2 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"037560","Hilcona Gnocchi, 5 x 1 kg","Hilcona","rice_pasta_grains","gnocchi","5","kg","case","","","","","","21.30","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"038200","Fleischkäsealternative","The Green Mountain","plant_based","","2.2","kg","case","2","","","","","41.78","2 x 2,2 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"038250","Plant-based Wurst für Currywurst","The Green Mountain","plant_based","","120","g","case","24","","vegan","","","2.29","24 x 120 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"038580","Kebab","The Green Mountain","plant_based","","1.5","kg","case","2","","vegan","","","22.58","2 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"038820","It's Vegic Indian Coconut Dal","Hilcona","plant_based","","1.5","kg","case","5","","vegan","","","13.89","5 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"038850","Bratwurstalternative","The Green Mountain","plant_based","","115","g","case","30","","vegan","","","2.46","3 x 10 x 115 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"038860","Plant-based Filet (Poulet- Art)","The Green Mountain","plant_based","","130","g","case","20","","","","","2.74","2 x 10 x ca. 130 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"038870","Schnitzel Wiener-Art","The Green Mountain","plant_based","","165","g","case","18","","","","","3.08","2 x 9 x 165 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"038880","Plant-based Steak","The Green Mountain","plant_based","","200","g","case","14","","","","","4.82","2 x 7 x ca. 200 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039110","It's Vegic Cous Cous Oriental","Hilcona","plant_based","","1.5","kg","case","5","","","","","12.71","5 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039510","It's Vegic Ocean Sticks","Hilcona","plant_based","","1.5","kg","case","3","","","","","22.06","3 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039521","Tataralternative","The Green Mountain","plant_based","","80","g","case","20","","vegan","","","1.71","20 x 80 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039540","Plant-based Chicken Chunks","The Green Mountain","plant_based","","1.5","kg","case","2","","","","","29.90","2 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039550","It's Vegic Falafel Rote Beete","Hilcona","plant_based","","1.5","kg","case","2","","vegan","","","21.45","2 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039560","It's Vegic Nuggets","Hilcona","plant_based","","1.5","kg","case","3","","","","","18.82","3 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039590","Plant-based Beef Chunks","The Green Mountain","plant_based","","1.5","kg","case","2","","","","","29.90","2 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039680","Plant-based Gehacktes Veganes Erzeugnis auf Basis von Erb- senprotein.","The Green Mountain","plant_based","","500","g","case","9","","vegan","","","70.84","9 x 500 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039720","Balls","The Green Mountain","plant_based","","1.5","kg","case","2","","","","","23.18","2 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039730","It's Vegic Schnitzel Käse","Hilcona","plant_based","","1.5","kg","case","3","","","","","23.69","3 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039740","It's Vegic Schnitzel Ricotta Spinat","Hilcona","plant_based","","1.5","kg","case","3","","","","","23.69","3 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"039990","Schnitzel Hot n Cold paniert","The Green Mountain","plant_based","","80","g","case","40","","vegan","","","1.30","40 x 80 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"040005","Bratkartoffeln halbiert 5kg Moit. pommes de terre rôtir5kg Patate per arrostire metà 5kg 0","","vegetables_fruit","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040110","Kartoffeln, festkochend, 10 kg","Quality","vegetables_fruit","potatoes","10","kg","bag","1","","","","","","","https://web.transgourmet.ch/de/prodega-easy/catalog/article/040110","2026-08-22","official_product_verified_price_unverified","Official product and pack size verified; public page did not expose price.","seed","seed","seed","","false","false","","","",""
"040155","Süsskartoffel Würfel 5kg Patate douce en cubes 5kg Patate dolci a cubetti 5kg 15x15","","vegetables_fruit","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040158","Premium Sweet Potatoes, 6 kg","Premium","vegetables_fruit","sweet_potatoes","6","kg","case","1","","","","","","","https://web.transgourmet.ch/de/prodega-easy/catalog/article/040158","2026-08-22","official_product_verified_price_unverified","Official product and pack size verified; public page did not expose price.","seed","seed","seed","","false","false","","","",""
"040168","Bratkartoff.roh gesch.(Beutel) P.de terr.à rôtir éplu.(sach.) Patate per arrost.crude pelat. 25-35","","vegetables_fruit","","2","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040169","Kartoffeln roh gesch.MK (Btl.) Pom.d.terr.ent.épl.far.(sach.) Patate cru.pelate far.(sacch.) 0","","vegetables_fruit","","2","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040171","Kartoffeln roh gesch.MK (Btl.) Pom.d.terr.ent.épl.far.(sach.) Patate cru.pelate far.(sacch.) 0","","vegetables_fruit","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040172","Kartoffeln Rissolée roh FK 5kg P.d.t.rissol. ferm.cuisson 5kg Patate rissolée cr.res.cot.5kg 15x15","","vegetables_fruit","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040173","Kartoffeln roh gesch.FK(Btl.) P.d.t.épl.ferm.cuisson (sach.) Patate pelate cru.re.co.(sac.) 0","","vegetables_fruit","","2","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040174","Kartoffeln roh gesch.FK (Btl.) P.d.t.épl.ferm.cuisson (sach.) Patate pelate cru.re.co(sacco) 0","","vegetables_fruit","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040176","Kart. Würfel FK 10x10mm 5kg Pom.d.t.cubes ferm.10x10mm 5kg Patate cub.re.cot. 10x10mm 5kg 10x10","","vegetables_fruit","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040179","Kart. roh gesch.30-40mm FK 2kg P.d.t.épl.ferm.cui.30-40mm 2kg Pat.pel.cr.res.cot.30-40mm 2kg 30-40","","vegetables_fruit","","2","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040181","Kartoff.Scheib. roh FK 3mm 5kg Pom.de terr.tran.ferm. 3mm 5kg Patate a fette res.cru.3mm 5kg 3","","vegetables_fruit","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040183","Kartoff.Schnitz.roh ges.FK 5kg Pom.terre Country épluch.5kg Patate spicchi, crude pel.5kg 0","","vegetables_fruit","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040185","Kart.Schnitz.roh ungesc.FK 5kg Pom.terre Country n.éplu.5kg Patat.spicchi, crude n.pel.5kg 0","","vegetables_fruit","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040257","Auberginen, 5 kg","Quality","vegetables_fruit","aubergines","5","kg","case","1","","","","","","","https://web.transgourmet.ch/de/prodega-easy/catalog/article/040257","2026-08-22","official_product_verified_price_unverified","Official product and pack size verified; public page did not expose price.","seed","seed","seed","","false","false","","","",""
"040277","Auberginen Rissolée 1kg Aubergines rissolées 1kg Melanzane rissolée 1kg 14x14x14","","vegetables_fruit","","1","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040326","Basilikum Bund, 80 g","Egli's frische Kräuter","vegetables_fruit","fresh_herbs","80","g","bunch","","","","","","3.5","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"040328","Basilikum, 250 g","Egli's frische Kräuter","vegetables_fruit","fresh_herbs","250","g","pack","","","","","","7.3","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"040329","Basilikum, 1 kg","Egli's frische Kräuter","vegetables_fruit","fresh_herbs","1","kg","pack","","","","","","23.95","per_pack","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"040391","Batavia Salat Schweiz Hydro, 8 St","Quality","vegetables_fruit","leafy_greens","8","piece","case","8","","","","","1.65","per_piece","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"040472","Blumenkohl Röschen 1kg Bouquets de chou-fleur 1kg Rosette di cavolfiore 1kg 40-60","","vegetables_fruit","","1","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040473","Blumenkohl Röschen 3kg Bouquets de chou-fleur 3kg Rosette di cavolfiore 3kg 40-60","","vegetables_fruit","","3","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-12/bgh-bestellvorlage_convenience.pdf","2026-08-22T12:54:03.659Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"040673","Broccoli, ca. 3,5 kg","Quality","vegetables_fruit","broccoli","3.5","kg","case","1","","","","","","","https://web.transgourmet.ch/de/prodega-easy/catalog/article/040673","2026-08-22","official_product_verified_price_unverified","Approximate case weight; public page did not expose price.","seed","seed","seed","","false","false","","","",""
