"articleNumber","name","brand","category","subcategory","packSizeValue","packSizeUnit","salesUnit","unitsPerSalesUnit","ingredients","dietaryTags","allergens","origin","priceCHF","priceBasis","sourceUrl","verifiedAt","verificationStatus","notes","provenance","identityProvenance","packProvenance","priceProvenance","nameConflict","packConflict","conflictFields","conflictDetails","conflictResolution","resolutionSourceUrl"
"002031","MSC Schollenfilet, paniert, vorfrittiert, ca. 140–160 g, Wild, FAO 27, tiefgekühlt,","","fish_seafood","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-07/2024_1187_tg-care_kompetenz_fisch_d.pdf","2026-08-22T12:54:05.471Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"002114","Schweins-Hals, ca. 2 kg","Quality","meat_poultry","pork","2","kg","pack","","","","","","10.99","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"002115","Schweins-Brust, mit Schwarten, ohne Knochen, ca. 3,5 kg","Quality","meat_poultry","pork","3.5","kg","pack","","","","","","7.69","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"002188","Weiderind-Voressen, 15–20 g,","Origine","meat_poultry","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"002191","Kalbs-Voressen, mager, 15–20 g,","","meat_poultry","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"002203","Schweins-Voressen, 15–20 g,","","meat_poultry","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"002213","002013 MSC Seelachs Filet, paniert, frittiert, ca. 140–60 g, Wild, FAO 27, tiefgekühlt,","","fish_seafood","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-07/2024_1187_tg-care_kompetenz_fisch_d.pdf","2026-08-22T12:54:05.471Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"002502","Swiss Quality Beef Schulterfilet Braten,","","meat_poultry","","1.2","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"002527","Vegane Hackballs","Fredag","plant_based","","1","kg","case","5","","vegan","","","15.70","5 x 1 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"002528","Quorn Geschnetzeltes","Fredag","plant_based","","1","kg","case","5","","","","","22.50","5 x 1 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"002529","noppa's Bio Tofu geräuchert, 500 g","noppa's","plant_based","tofu","500","g","piece","1","","","","","","","https://webshop.transgourmet.ch/api/webshop/pub/articles/factsheet/002529","2026-08-22","official_product_verified_price_unverified","Official Transgourmet factsheet verified; public source did not expose price.","seed","seed","seed","","false","false","","","",""
"002530","Veganes Gehacktes","Fredag","plant_based","","1","kg","case","5","","vegan","","","15.70","5 x 1 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"002615","Poulet Schenkel Spiessli,","","meat_poultry","","100","g","case","5","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"002616","Lammschulter-Voressen, 15–20 g,","","meat_poultry","","1","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"002674","Truten Fleischvogel mit Frischkäse und Pilzen, tiefgekühlt,","","meat_poultry","","80","g","case","30","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"003660","MSC Crevetten in Lake, Wild, FAO 21/27,","","fish_seafood","","900","g","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-07/2024_1187_tg-care_kompetenz_fisch_d.pdf","2026-08-22T12:54:05.471Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"004190","Ditzler Heidelbeeren ungezuckert TK, 2 x 2,5 kg","Ditzler","vegetables_fruit","berries","5","kg","case","","","","","","8.8","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"004863","Gemüse Schnitzel","Fredag","plant_based","","112","g","case","36","","","","","15.50","36 x112 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"005898","Burger","The Beyond","plant_based","","113","g","case","40","","vegan","","","","","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"006060","It's Vegic Bulgur Gemüse Burger","Hilcona","plant_based","","1.75","kg","case","3","","","","","","","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
